2021-01-12 01:32:19 status unpacked libkeyutils1:amd64 1.6-6
2021-01-12 01:32:19 status half-configured libkeyutils1:amd64 1.6-6
2021-01-12 01:32:19 status installed libkeyutils1:amd64 1.6-6
2021-01-12 01:32:19 configure libpsl5:amd64 0.20.2-2 <none>
2021-01-12 01:32:19 status unpacked libpsl5:amd64 0.20.2-2
2021-01-12 01:32:19 status half-configured libpsl5:amd64 0.20.2-2
2021-01-12 01:32:19 status installed libpsl5:amd64 0.20.2-2
2021-01-12 01:32:19 configure libmagic-mgc:amd64 1:5.35-4+deb10u1 <none>
2021-01-12 01:32:19 status unpacked libmagic-mgc:amd64 1:5.35-4+deb10u1
2021-01-12 01:32:19 status half-configured libmagic-mgc:amd64 1:5.35-4+deb10u1
2021-01-12 01:32:19 status installed libmagic-mgc:amd64 1:5.35-4+deb10u1
2021-01-12 01:32:19 configure libglib2.0-0:amd64 2.58.3-2+deb10u2 <none>
2021-01-12 01:32:19 status unpacked libglib2.0-0:amd64 2.58.3-2+deb10u2
2021-01-12 01:32:19 status half-configured libglib2.0-0:amd64 2.58.3-2+deb10u2
2021-01-12 01:32:19 status installed libglib2.0-0:amd64 2.58.3-2+deb10u2
2021-01-12 01:32:19 configure libssl1.1:amd64 1.1.1d-0+deb10u4 <none>
2021-01-12 01:32:19 status unpacked libssl1.1:amd64 1.1.1d-0+deb10u4
2021-01-12 01:32:19 status half-configured libssl1.1:amd64 1.1.1d-0+deb10u4
2021-01-12 01:32:19 status installed libssl1.1:amd64 1.1.1d-0+deb10u4
2021-01-12 01:32:19 configure binutils-common:amd64 2.31.1-16 <none>
2021-01-12 01:32:19 status unpacked binutils-common:amd64 2.31.1-16
2021-01-12 01:32:19 status half-configured binutils-common:amd64 2.31.1-16
2021-01-12 01:32:19 status installed binutils-common:amd64 2.31.1-16
2021-01-12 01:32:19 configure libnghttp2-14:amd64 1.36.0-2+deb10u1 <none>
2021-01-12 01:32:19 status unpacked libnghttp2-14:amd64 1.36.0-2+deb10u1
2021-01-12 01:32:19 status half-configured libnghttp2-14:amd64 1.36.0-2+deb10u1
2021-01-12 01:32:19 status installed libnghttp2-14:amd64 1.36.0-2+deb10u1
2021-01-12 01:32:19 configure libmagic1:amd64 1:5.35-4+deb10u1 <none>
2021-01-12 01:32:19 status unpacked libmagic1:amd64 1:5.35-4+deb10u1
2021-01-12 01:32:19 status half-configured libmagic1:amd64 1:5.35-4+deb10u1
2021-01-12 01:32:19 status installed libmagic1:amd64 1:5.35-4+deb10u1
2021-01-12 01:32:19 configure linux-libc-dev:amd64 4.19.160-2 <none>
2021-01-12 01:32:19 status unpacked linux-libc-dev:amd64 4.19.160-2
2021-01-12 01:32:19 status half-configured linux-libc-dev:amd64 4.19.160-2
2021-01-12 01:32:19 status installed linux-libc-dev:amd64 4.19.160-2
2021-01-12 01:32:19 configure file:amd64 1:5.35-4+deb10u1 <none>
2021-01-12 01:32:19 status unpacked file:amd64 1:5.35-4+deb10u1
2021-01-12 01:32:19 status half-configured file:amd64 1:5.35-4+deb10u1
2021-01-12 01:32:19 status installed file:amd64 1:5.35-4+deb10u1
2021-01-12 01:32:19 configure libgomp1:amd64 8.3.0-6 <none>
2021-01-12 01:32:19 status unpacked libgomp1:amd64 8.3.0-6
2021-01-12 01:32:19 status half-configured libgomp1:amd64 8.3.0-6
2021-01-12 01:32:19 status installed libgomp1:amd64 8.3.0-6
2021-01-12 01:32:19 configure bzip2:amd64 1.0.6-9.2~deb10u1 <none>
2021-01-12 01:32:19 status unpacked bzip2:amd64 1.0.6-9.2~deb10u1
2021-01-12 01:32:19 status half-configured bzip2:amd64 1.0.6-9.2~deb10u1
2021-01-12 01:32:19 status installed bzip2:amd64 1.0.6-9.2~deb10u1
2021-01-12 01:32:19 configure libldap-common:all 2.4.47+dfsg-3+deb10u4 <none>
2021-01-12 01:32:19 status unpacked libldap-common:all 2.4.47+dfsg-3+deb10u4
2021-01-12 01:32:19 status half-configured libldap-common:all 2.4.47+dfsg-3+deb10u4
2021-01-12 01:32:19 status installed libldap-common:all 2.4.47+dfsg-3+deb10u4
2021-01-12 01:32:19 configure libkrb5support0:amd64 1.17-3+deb10u1 <none>
2021-01-12 01:32:19 status unpacked libkrb5support0:amd64 1.17-3+deb10u1
2021-01-12 01:32:19 status half-configured libkrb5support0:amd64 1.17-3+deb10u1
2021-01-12 01:32:19 status installed libkrb5support0:amd64 1.17-3+deb10u1
2021-01-12 01:32:19 configure libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1 <none>
2021-01-12 01:32:19 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2021-01-12 01:32:19 status half-configured libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2021-01-12 01:32:19 status installed libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2021-01-12 01:32:19 configure libasan5:amd64 8.3.0-6 <none>
2021-01-12 01:32:19 status unpacked libasan5:amd64 8.3.0-6
2021-01-12 01:32:19 status half-configured libasan5:amd64 8.3.0-6
2021-01-12 01:32:19 status installed libasan5:amd64 8.3.0-6
2021-01-12 01:32:19 configure make:amd64 4.2.1-1.2 <none>
2021-01-12 01:32:19 status unpacked make:amd64 4.2.1-1.2
2021-01-12 01:32:19 status half-configured make:amd64 4.2.1-1.2
2021-01-12 01:32:19 status installed make:amd64 4.2.1-1.2
2021-01-12 01:32:19 configure libmpfr6:amd64 4.0.2-1 <none>
2021-01-12 01:32:19 status unpacked libmpfr6:amd64 4.0.2-1
2021-01-12 01:32:19 status half-configured libmpfr6:amd64 4.0.2-1
2021-01-12 01:32:19 status installed libmpfr6:amd64 4.0.2-1
2021-01-12 01:32:19 configure librtmp1:amd64 2.4+20151223.gitfa8646d.1-2 <none>
2021-01-12 01:32:19 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2
2021-01-12 01:32:19 status half-configured librtmp1:amd64 2.4+20151223.gitfa8646d.1-2
2021-01-12 01:32:19 status installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2
